,T,p,p_rgh,Ux,Uy,Ux
382,290.41,100144.0,143.758,-0.175047,0.0049336,0.0
383,290.415,100144.0,143.758,-0.175894,0.00424238,0.0
384,290.419,100144.0,143.758,-0.176148,0.00334886,0.0
385,290.422,100144.0,143.759,-0.175667,0.0021879,0.0
386,290.424,100144.0,143.759,-0.174262,0.00068102,0.0
387,290.424,100144.0,143.76,-0.171738,-0.00126491,0.0
388,290.414,100144.0,143.761,-0.167854,-0.00372591,0.0
389,290.396,100144.0,143.763,-0.162437,-0.00679814,0.0
390,290.367,100144.0,143.764,-0.15514,-0.0105617,0.0
391,290.324,100144.0,143.767,-0.145523,-0.0150746,0.0
392,290.263,100144.0,143.769,-0.133091,-0.0203336,0.0
393,290.179,100144.0,143.772,-0.11739,-0.0262067,0.0
394,290.065,100144.0,143.774,-0.0981851,-0.0323117,0.0
395,289.913,100144.0,143.776,-0.0757988,-0.0377543,0.0
396,289.716,100144.0,143.777,-0.051489,-0.0405539,0.0
397,289.461,100144.0,143.778,-0.0274148,-0.0365631,0.0
398,289.13,100144.0,143.777,-0.00470838,-0.0174104,0.0
399,288.675,100144.0,143.777,0.00924708,0.0135106,0.0
400,299.076,100144.0,143.752,-0.00801725,0.033282,0.0
401,294.421,100144.0,143.754,-0.0135777,0.00794692,0.0
402,293.403,100144.0,143.754,-0.0160997,-0.00261234,0.0
403,293.183,100144.0,143.755,-0.0163128,-0.00466215,0.0
404,293.132,100144.0,143.755,-0.015676,-0.00430156,0.0
405,293.12,100144.0,143.755,-0.0147938,-0.00348688,0.0
406,293.117,100144.0,143.755,-0.0139106,-0.00273724,0.0
407,293.116,100144.0,143.755,-0.0131046,-0.00214503,0.0
408,293.115,100144.0,143.755,-0.0123952,-0.0016949,0.0
409,293.115,100144.0,143.755,-0.0117808,-0.00135397,0.0
410,293.115,100144.0,143.755,-0.0112525,-0.0010934,0.0
411,293.115,100144.0,143.755,-0.0107998,-0.000891572,0.0
412,293.115,100144.0,143.755,-0.0104123,-0.000732934,0.0
413,293.115,100144.0,143.755,-0.0100806,-0.00060642,0.0
414,293.115,100144.0,143.755,-0.00979687,-0.000504117,0.0
415,293.115,100144.0,143.755,-0.00955419,-0.000420306,0.0
416,293.115,100144.0,143.755,-0.00934687,-0.000350808,0.0
417,293.115,100144.0,143.755,-0.00917013,-0.000292526,0.0
418,293.115,100144.0,143.755,-0.00901999,-0.000243136,0.0
419,293.115,100144.0,143.755,-0.0088931,-0.000200869,0.0
420,293.115,100144.0,143.755,-0.00878665,-0.000164362,0.0
421,293.115,100144.0,143.755,-0.0086983,-0.000132552,0.0
422,293.115,100144.0,143.755,-0.00862605,-0.000104603,0.0
423,293.115,100144.0,143.755,-0.00856822,-7.98412e-05,0.0
